Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
41.1,86.1,15.8,34.3,34.9,17.5,1.88,5.0,716
41.1,82.1,30.0,52.7,35.7,14.9,2.46,4.0,654
35.6,75.0,29.0,41.8,32.2,11.9,1.95,5.8,748
24.6,64.6,17.1,20.3,20.5,6.7,0.9,10.5,355
29.2,45.9,1.9,10.9,29.4,5.5,1.1,6.1,647
31.9,61.4,29.5,31.9,28.7,-0.3,1.06,11.1,212
31.9,66.3,38.8,40.0,30.6,9.3,1.55,6.2,381
24.7,51.4,3.5,9.4,14.6,4.3,0.85,11.6,215
30.8,60.8,12.6,21.9,21.1,7.1,1.33,5.5,596
32.2,76.4,0.0,10.3,24.0,11.0,1.49,5.9,347
25.2,63.2,8.9,19.6,41.7,9.9,2.14,5.1,473
22.9,40.5,3.7,7.3,13.4,0.9,1.12,12.6,246
23.7,56.6,8.3,24.4,26.6,12.1,1.35,5.4,551
21.8,72.4,4.0,7.5,19.4,-0.3,1.15,12.2,490
25.9,55.8,21.4,29.3,23.4,9.6,1.17,5.7,612
22.2,57.5,3.6,5.6,16.7,7.6,0.86,11.6,460
30.9,70.6,23.5,40.2,24.4,12.7,1.34,10.7,393
25.8,62.0,6.4,8.2,24.8,6.1,0.98,12.1,379
28.8,75.6,21.4,24.5,24.5,5.3,1.1,11.4,291
24.5,93.6,22.3,31.7,22.4,11.6,1.81,8.3,585
26.3,52.6,3.7,8.9,27.3,7.8,1.03,10.8,246
23.6,67.4,17.9,28.8,25.6,7.3,1.71,6.2,670
41.1,110.2,26.6,42.7,26.8,9.0,2.4,8.7,814
35.0,80.5,43.6,55.1,27.9,11.3,1.65,6.9,664
34.2,78.8,18.1,29.6,24.6,11.3,1.73,6.8,441
32.1,72.6,11.3,25.5,21.7,7.1,1.55,6.7,374
32.0,62.5,0.1,5.1,20.2,4.6,0.89,10.2,201
23.8,70.6,4.7,18.1,31.1,9.3,1.48,5.1,609
23.7,46.8,1.2,6.6,23.4,3.1,1.07,10.4,531
31.0,78.0,1.5,5.7,20.0,4.7,1.02,11.0,279
28.6,53.7,28.9,34.0,23.2,4.5,1.02,11.0,508
34.2,61.2,8.9,19.0,24.6,12.6,1.41,5.1,553
31.6,61.9,46.9,46.9,17.9,4.0,1.46,5.4,339
36.1,82.6,28.1,28.1,31.7,12.7,1.52,9.0,601
26.8,50.5,3.5,7.3,12.3,4.8,1.15,12.3,262
34.9,51.8,31.4,40.1,19.6,12.0,1.46,6.0,634
26.9,55.9,33.3,36.4,25.6,9.5,1.13,12.5,584
19.3,50.7,4.2,10.2,20.8,1.5,1.05,11.4,416
29.7,75.5,27.5,33.0,23.8,8.2,1.32,7.3,554
35.0,58.7,0.6,7.1,19.9,13.2,1.58,5.1,361
29.3,78.5,14.8,19.2,29.3,-0.4,1.48,8.0,451
21.7,42.0,1.2,5.8,27.7,3.2,0.87,12.4,248
31.5,85.2,11.3,21.9,26.6,9.1,1.2,5.2,676
30.8,69.0,8.1,21.3,17.8,8.0,1.37,5.6,635
25.3,75.6,2.8,5.9,23.8,6.4,1.12,10.1,299
20.9,41.1,1.7,8.4,24.8,4.9,1.08,11.2,590
21.8,55.6,11.2,20.6,13.5,6.4,1.05,10.8,577
26.4,58.3,2.9,7.5,21.3,3.9,0.89,10.8,244
30.9,76.7,12.4,16.2,13.7,6.9,0.73,11.2,579
24.8,80.3,9.2,14.0,12.2,4.8,0.9,11.1,277
26.1,51.8,2.7,4.5,18.1,4.9,0.94,10.2,277
27.6,89.1,23.7,36.4,35.4,17.2,1.79,4.2,817
25.0,55.1,2.2,7.7,27.2,7.2,1.04,10.1,294
25.5,81.0,1.1,9.9,31.2,12.3,1.77,5.9,572
28.2,60.6,14.5,19.4,23.0,6.0,1.16,14.3,360
30.5,58.2,11.8,24.8,22.9,15.9,1.52,5.1,431
24.2,75.7,29.5,34.0,17.0,5.9,1.06,10.3,483
27.1,66.8,0.1,5.2,23.1,6.4,0.99,12.7,417
20.2,54.7,25.8,33.6,21.1,6.7,1.06,10.4,598
25.1,48.3,46.2,56.6,17.7,6.5,1.8,7.3,353
34.4,107.9,18.7,33.4,37.1,15.3,1.99,5.4,388
30.6,44.2,12.0,16.4,14.7,2.9,0.99,12.1,569
26.1,48.0,17.3,22.3,18.6,2.0,1.02,11.2,313
31.2,75.5,30.5,37.8,32.7,8.6,1.79,6.0,608
22.4,65.2,34.2,38.7,28.2,5.9,1.02,10.7,532
25.0,72.6,1.5,6.9,19.0,5.7,0.94,14.8,407
22.9,57.9,2.7,8.4,22.8,2.9,1.03,12.8,521
36.6,68.4,28.3,42.4,44.2,6.6,2.11,3.8,726
26.4,70.6,18.8,25.0,26.9,6.3,1.0,16.1,500
24.7,38.8,16.9,24.5,16.6,3.4,1.06,11.2,485
26.7,65.2,2.7,7.0,17.6,6.8,1.02,11.1,510
22.2,66.7,1.6,8.2,14.1,7.8,0.99,10.4,544
30.6,92.3,14.2,30.6,22.4,14.4,1.6,5.6,574
25.4,75.4,33.4,35.5,31.4,9.4,1.8,5.8,600
25.5,47.4,9.5,8.9,25.2,5.9,1.24,10.6,404
37.1,100.9,3.5,19.9,46.0,18.4,2.08,6.6,473
18.2,45.5,9.4,17.0,15.5,6.4,0.89,14.1,373
21.5,57.5,0.2,4.3,15.0,6.7,1.02,18.8,373
32.4,83.3,2.3,18.4,30.9,15.1,1.54,5.0,355
22.5,56.1,27.4,33.8,19.0,5.4,0.87,16.6,492
34.8,75.2,8.9,28.9,32.5,16.6,1.8,7.1,517
18.5,57.3,7.7,11.1,22.8,4.7,1.1,10.2,600
28.8,66.7,7.6,10.6,16.4,5.1,1.25,13.3,460
29.7,72.2,9.0,10.4,19.6,5.6,1.09,10.6,409
24.9,82.2,19.5,27.9,25.6,2.0,1.54,8.1,458
33.7,67.9,1.4,13.4,26.2,16.4,1.84,4.9,742
33.3,66.3,13.6,25.8,19.3,12.9,1.41,8.4,460
